,tweet,label
1432,"Junius Ho claims that he doesn^t need to apply Letter of No Objection for the event ""Clean Hong Kong"" he organized\u2026 https://t.co/4E35Cumg73 ",0
674,"RT @HKBearBear: @SolomonYue If it takes longer to pass a stronger act, I\u2019d rather prefer to have the act passed ASAP. #HongKongers can\u2019t wa\u2026 ",0
327,\u525b\u525b\u770b\u5230\u52c7\u6b66\u7684\u5fc3\u8072\uff0c\u9019\u6b21\u4e0d\u4f5c\u82f1\u8a9e\u9673\u8ff0\u4e86\uff0c\u56e0\u70ba\u5916\u570b\u4eba\u672a\u5fc5\u4e86\u89e3\u9019 ,0
1352,"RT @P509807Tony: The trial that USA faces now is the extension of the cruelty to Hongkong  \nform china today, so pls stand with #HongKong a\u2026 ",0
3699,\u9ece\u5566\u5927\u9678\u72d7\n\u7e7c\u7e8c\u505a\u5572on9\u91ce\u8fa3\u5168\u4e16\u754c\n#antichinazi #chinazi https://t.co/Bo2US4iiIG ,0
3538,"Torturing political prisoners at its finest, good job CCP.\n#China70years #Chinazi #China https://t.co/L0fc3jCrC6 ",0
856,#5DemandsNo1Less #HongKong is definitely facing a #HumanitarianCrisis. #Police keeps deploying excessive #violence\u2026 https://t.co/WspYDmWtRN ,0
3136,Thanks for supporting #hongkong !!\n\nWe are now facing the tyranny and police brutality \n\nPlease help us!!\u2026 https://t.co/OtTDdnkRaY ,0
2242,More police are on standby in Hong Kong^s Tin Shui Wai MTR station #HongKongProtest #\u9999\u6e2f https://t.co/7ZCKXb9jws ,0
2973,#AntiMaskLaw #HongKongProstests \n#StandWithHongKong https://t.co/EOVb2zllCR ,0
1918,\u201cWhether you are pro- or anti-democracy is not just politics - it is right or wrong\u201d\n#StandWithHongKong\u2026 https://t.co/H02jy47A1z ,0
3048,"@nytimes Unlike @NBA, South Park hold on basic human rights of free speech and democracy. #StandWithMorey #StandWithHongKong ",0
811,#HongKongpolice use pepper spray to hurt press and old #hongkongers again.\n\n#soshk #standwithhongkong #StandwithHK\u2026 https://t.co/rtHxk2aCeM ,0
2905,@BobbyKotick shame on you. #BoycottBlizzard #FreeHongKong ,0
1066,"@amnestyHK Hong Kong police in cahoots with the triads, use extra and unnecessary violence on #hongkongers \nWhole w\u2026 https://t.co/e9QEXfgjdR ",0
3696,#FreeHongKong https://t.co/nL7q7vjpQe ,0
799,\u3010\u4ee5\u4e0b\u7f8e\u570b\u767d\u5bae\u806f\u7f72\u96d6\u7136\u5df2\u5920 10 \u842c\u4eba\u806f\u7f72\uff0c\u4f46\u76ee\u6a19\u662f 100 \u842c\u4eba\u806f\u7f72\uff01\u8acb\u5 ,0
2949,This is one of the most heartbreaking scene I\u2019ve seen in these months so far\U0001f62d\U0001f62d\U0001f62d #chinazi #HKPoliceTerrorism\u2026 https://t.co/nPBC2xwXtY ,0
2141,This is what Hong Konger facing every week everyday. #StandWithHongKong #StandwithHK #HongKongProtester\u2026 https://t.co/gO9310IivG ,0
323,"0758, \U0001f198\U0001f6a8\U0001f198 update: firemen are now trying to rope down to the suspected suicide unit. #emergencylaw #lockdownhk\u2026 https://t.co/lRn6WCriPJ ",0
2918,Fight for Freedom! God is with America &amp; HongKong!   #FreedomOfSpeech #FreeHongKong #God #NBA  Check the song video\u2026 https://t.co/AWmdr6xVS3 ,0
751,"@LeungRik @realKyleOlbert Obviously the so called ""Hong Kong Independent"" trick was made by #CPP as China is afraid\u2026 https://t.co/T7ZUcksAIf ",0
360,@anbeSelva #XiJinping\n#gobackxijinbing\n#\u56de\u53bb\u4e60\u5c3d\u75c5\n\n#GoBackModi\n#\u56de\u5230\u83ab\u8fea\n#ModixijinpingMeet \n#FreeHongKong \n#FreeKashmir\n#FreeUyghur ,0
3081,\u3042\u306e\u6821\u9577\u5148\u751f\u304c\u751f\u304d\u3066\u305f\u3089\u3001\u5fc5\u305a\u5b66\u751f\u3092\u5b88\u308b\u3060\u308d\u3046\u3002\n\u3061\u306a\u307f\u306b\u3001\u59 ,0
2303,@hoccgoomusic @JHarden13 With side will you choose? #Chinazi or #FreedomHK ? ,0
3955,#chinazi https://t.co/d0Q7Llwjv1 https://t.co/83LpDUdQeg ,0
1402,#EmergencyRegulationsOrdinance in #HongKong \n#HKprotests #HongKongProtesters\n#Standwithhk #5DemandsNot1Less\u2026 https://t.co/o3b7SsVfqq ,0
4003,I can^t see anything wrong to support democracy and freedom. \n\n#chinazi \n#NBA \n#DarylMorey \n#HongKongProtest https://t.co/lxWZ6BgyzI ,0
316,RT @Blueyocean1: @alfonslopeztena That won^t stop #Chinazi to control &amp; manipulate people because gait-recognition technology is well devel\u2026 ,0
756,Thank you for #StandWithHongKong to #FightForFreedom and #antitotalitarianism https://t.co/6KzQ21jf6O ,0
989,@ewarren I appreciate you!!!!!!!!!!  #HongKongProtest #HongKong #antiELAB #PoliceBrutality #5DemandsNot1Less ,0
3004,#BloodyCarrie #FreedomHK #FreeHongKong #hk #HKPolice #HKPoliceGoneNuts #hkpoliceisterrorist #hkpolicemurder\u2026 https://t.co/1szBwIRlwc ,0
420,Live at MOS: at least 1 man is being arrested by unknown reason. Police station is being surrounded by the crowd. T\u2026 https://t.co/CS66EIAIkk ,0
3404,@prayingmedic #FreeHongKong !!! ,0
75,\u652f\u90a3\u679c\u7136\u4fc2\u570b\u5bb6\u7d1a\u6050\u6016\u4e3b\u7fa9\u570b\u5bb6\nChiNazi is a terrorist country . \n\n#ChinaziSupport911 #chinazi https://t.co/IDJgRDJvVT ,0
636,@SenRickScott @cclamoncc @MiamiHerald Lets see the truths in #HongKong \n\n#LiberateHongKong\n#HongKongProtests\u2026 https://t.co/dvQ2sQIPRA ,0
3577,"@GovMikeHuckabee @NBA Time to #BoycottChina, unless you prefer slavery then freedom. \n#StandwithHongKong ",0
2714,Happy Birthday 10/10\n#TaiwanNationalDay \n#TaiwanIsNotChina \n#StandWithHongKong https://t.co/5QHPIcpcsB ,0
3987,@ssataline Thank you so much for standing in the frontline to capture the truth. #StandWithHongKong ,0
130,#StandWithHongKong  #FightForFreedom https://t.co/TmD69yqJmT ,0
17,REAL BULLET AGAIN! FUCK THE RUBBISH #HongKongPolice!\U0001f621 #PoliceTerrorism #PoliceBrutalitiy #chinazi #murderer\u2026 https://t.co/MrsmXRUNH2 ,0
2550,RT @hkstream: [Recap] Hong Kong^s summer of protests leaves economy bruised and battered #HongKong #China #antiELAB #hongkongprotests \n\nhtt\u2026 ,0
2179,#HongKongProstests \n#StandWithHongKong\n#FightForFreedom \n#FreedomOfSpeech \n#Google https://t.co/YUlM2WFQrO ,0
928,Shouldn^t the ERO mask ban apply to HK Police as well? Is it one law for #HongKong and another for the police?\u2026 https://t.co/vGt2Rw6j3D ,0
2268,Thanks to @SouthPark #antichinazi #antiELABhk #StandWithHongKong #SayNoToChina https://t.co/mC42KUzJ80 ,0
2738,Do #HKPolice protect hongkongers? Nope\nThe truth is #HKPolice kill hongkongers\n#HongKongProtests\u2026 https://t.co/v34FKneBUS ,0
70,@RepMalinowski @RonWyden @RepGallagher @RepAOC @SenTomCotton @SenTedCruz @RepJimBanks Thank you for supporting HK \u2764\u2026 https://t.co/f3oEYhbei8 ,0
2952,@FinancialTimes #StandWithHongKong https://t.co/bzx0r6zTdb ,0
3864,@RonWyden Many thanks Sir for your support! Much appreciated! #StandWithHongKong #FreeHongKong ,0
3502,"RT @homekong19: Why doesn\u2019t he immigrate to his favourite country, China ? #AntiMaskLawHK #antichinazi #AntiEmergencyLaw #HongKongProtest #\u2026 ",0
3176,RT @lazyworm5: Why does he laugh ? \n#HongKongProtest \n#HongKongPolice \n#929GlobalAntiTotalitarianism \n#StandWithHongKong \n#chinazi https://\u2026 ,0
2263,@karineeeey \u624b\u8db3\u52a0\u6cb9!!\n\n#\u79d1\u52de\u624b\u8db3 \n#\u5149\u5fa9\u9999\u6e2f\u6642\u4ee3\u9769\u547d \n#StandWithHongKong ,0
1732,@dandrezner @kellysgallagher Only fool would throw good money in the endless hole. The Chinazis is running the bigg\u2026 https://t.co/JF4leTTZz8 ,0
2233,#StandWithHongKong \n#HongKongHumanRightsAndDemocracyAct \n#5DemandsNot1Less \n#BanMTR\n#SaveHongKong \n@BBCWorld \n@CNN\u2026 https://t.co/K3NeUITcO8 ,0
699,@Activision @Blizzard_Ent #FreeHongKong https://t.co/WmRSy3O3fJ ,0
2126,Police Transit Railway\nFuck the PoPo\n#HongKongProtests #FreeHongKong #StandWithHongKong #StandwithHK\u2026 https://t.co/B6hZD4YFrR ,0
3263,Chinese women were stealing things from the store while they called the protestors as ^ rioters^ \n#chinazi https://t.co/I3LJEjiV38 ,0
1401,#EmergencyRegulationsOrdinance in #HongKong \n#HKprotests #HongKongProtesters\n#Standwithhk #5DemandsNot1Less\u2026 https://t.co/IjU7pYn7mY ,0
726,#MurshidabadHeinousCrime\n#DayoftheGirl\n#TN_welcomes_XiJinping #FreeHongKong\n#HappyBirthdayAmitabhBachchan\u2026 https://t.co/oObtacbVtY ,0
1490,murder #PoliceBrutality #PoliceTerrorism #FreeHongKong #chinazi #HongKongProtests #ExtraditionLaw\u2026 https://t.co/xJ6yCMYSrN ,0
1045,@HappsNews @almond_526 @1andrewking Thanks you for your effort !  \n#chinazi ,0
2925,#FreeHongKong #fuckthechinesegovernment https://t.co/dhXjtEsmUG ,0
100,Such a sweet couple in troubled times\U0001f97a they #FightForFreedom please #StandWithHongKong  #HongKongProtests #HongKong\u2026 https://t.co/VgO5IsJdtJ ,0
