,tweet,pro/anti
0,"RT @builder101_yt: Glory to Hong Kong (the song below) should be Hong Kong^s new national anthem, not the Chinese one. #GlorytoHongKong #Ho\u2026 ",0
1,RT @FreedomHKG: @SpeakerPelosi Heartfelt thanks for you support \U0001f64f cant wait for the good news. Please #LiberateHongKong and make HongKong g\u2026 ,0
2,RT @hkdemonow: . @hkpoliceforce officers tearing down Lennon Wall at Tin Shui Wai and left it as trash on the ground\n#antiELAB #FreedomHK #\u2026 ,0
3,RT @woleifeifei: HKPF were arresting people who decorating the lennon walls in their districts tonight. The Police even destroyed the wall\u2026 ,0
4,@SpeakerPelosi @Fight4HongKong Thank you for supporting #HongKong. We wish to fight against #PoliceBrutality .\u2026 https://t.co/5sdyB8Mw2z ,0
5,"RT @EnzoMazak: Sorry, made too many tweets.\n\nIdea of #FreeHongKong is not exclusive to those at or behind the frontline, or in front of the\u2026 ",0
6,"RT @anderscorr: Former Chief Secretary of #HongKong Anson Chan is my new hero - she deserves the honorific of the ""Iron Lady of #HK"". Her p\u2026 ",0
7,RT @hk_protect: \u9999\u6e2f\u4eba \u52a0\u6cb9 \n#HongKong #followbackhongkong https://t.co/IWxfETXOCe ,0
8,#hongkong #HongKongProtests #FreeHongKong #PoliceBrutality https://t.co/Y88UuWyZR3 ,0
9,RT @hkvoice1: Mark The Date: 9.29. The day that show your support to #HongKong and determination to #antichinazi. Please join #929GlobalAnt\u2026 ,0
10,RT @BoycottHegemony: U.S. Congress to advance ^Hong Kong Human Rights and Democracy^ bill https://t.co/XjEIrnou4B Trump has since called on\u2026 ,0
11,RT @GlobalHimalaya: \u91cd\u78c5\U0001f525\u9996\u767c\U0001f525 #\u7cbe\u83ef\u7248 \n\u53cd\u5171\u9b25\u58eb\u76e7\u6bd4\u5967\u8b70\u54e1 @marcorubio \u5728\u7f8e\u570b\u570b\u ,0
12,"RT @MiffyPekkle: @realKyleOlbert 80yr-old Uncle Wong also joins #HKprotests as he wants to use his body to protect the teenagers. \u201cTo me, t\u2026 ",0
13,RT @HKneedyourhelp: This article explains well why HK people still keep on fighting.  NEVER trust #CarrieLam again!\n\n#5DemandsNot1Less #Hon\u2026 ,0
14,RT @Szell51810733: #hongkong #PoliceBrutality #chinazi #HongKongProtests #FreeHongKong #democracy #antiELABhk https://t.co/BVKCbsfyxY ,0
15,RT @kpspan: [#NOW] \nMr. Kim Eui-sung is spotted at Prince Edward Station.\n\nJust can^t express my immense gratitude to a Korean actor being\u2026 ,0
16,"RT @BrianLeungKP: It takes one night to destroy a free society, but decades or centuries to build one. That^s why safeguarding #HongKong^s\u2026 ",0
17,Good morning #HongKong\n\n#SaveHongKong #FreedomHK #FreeHongKong #HK #PrayForHongKong #\u9999\u6e2f #\u9999\u6e2f\u52a0\u6cb9 #Asia\u2026 https://t.co/nlw7Q2Geig ,0
18,RT @zoeyeung66: @dwnews we WON\u2019T stop until all 5 demands met\n\n#HongKong #SOSHK\n#5DemandsNot1Less https://t.co/LKszfPHg4k ,0
19,RT @hkvoice1: Mark The Date: 9.29. The day that show your support to #HongKong and determination to #antichinazi. Please join #929GlobalAnt\u2026 ,0
20,RT @realKyleOlbert: The children of #HongKong are standing shoulder-to-shoulder w/ #HKprotesters.\n\nThey might not understand the implicatio\u2026 ,0
